user_id,name,department,year,enrolled_courses,usual_patterns
u_001,James Snyder,MBA,1,"[""CS491"", ""Chemistry213"", ""CE153"", ""CS150""]","{""Computer Lab B"": {""days"": [""Thu"", ""Wed"", ""Mon"", ""Fri"", ""Sun""], ""usual_time"": ""15:00"", ""duration_min"": 90}, ""Gymnasium"": {""days"": [""Wed"", ""Tue"", ""Sat"", ""Sun""], ""usual_time"": ""06:00"", ""duration_min"": 45}, ""Indoor Sports Complex"": {""days"": [""Wed"", ""Sat"", ""Thu"", ""Mon"", ""Sun""], ""usual_time"": ""19:00"", ""duration_min"": 45}, ""Student Center"": {""days"": [""Thu"", ""Tue"", ""Sat"", ""Mon""], ""usual_time"": ""14:00"", ""duration_min"": 90}}"
u_002,Tracy Hall,ME,1,"[""CE107"", ""CS221"", ""Bio122"", ""ME481"", ""CS150""]","{""Computer Lab B"": {""days"": [""Thu"", ""Mon""], ""usual_time"": ""10:00"", ""duration_min"": 90}, ""Gymnasium"": {""days"": [""Wed"", ""Sun"", ""Thu"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 90}, ""Student Center"": {""days"": [""Sat"", ""Thu"", ""Tue""], ""usual_time"": ""11:00"", ""duration_min"": 60}}"
u_003,Lauren Garrison,MBA,2,"[""EE180"", ""CE153"", ""Bio308"", ""CE461"", ""Physics409"", ""Economics495""]","{""Food Court"": {""days"": [""Wed"", ""Sat"", ""Thu""], ""usual_time"": ""08:30"", ""duration_min"": 45}, ""Indoor Sports Complex"": {""days"": [""Tue"", ""Mon"", ""Wed"", ""Fri""], ""usual_time"": ""06:00"", ""duration_min"": 60}}"
u_004,David Stafford,ME,3,"[""Economics220"", ""Chemistry274"", ""CE461"", ""Economics301""]","{""Indoor Sports Complex"": {""days"": [""Sun"", ""Wed"", ""Fri""], ""usual_time"": ""08:00"", ""duration_min"": 90}, ""Science Library"": {""days"": [""Sun"", ""Wed""], ""usual_time"": ""19:00"", ""duration_min"": 180}, ""Food Court"": {""days"": [""Sat"", ""Fri"", ""Mon"", ""Wed"", ""Sun""], ""usual_time"": ""12:30"", ""duration_min"": 30}, ""Central Cafeteria"": {""days"": [""Mon"", ""Tue"", ""Thu""], ""usual_time"": ""19:00"", ""duration_min"": 45}, ""Gymnasium"": {""days"": [""Fri"", ""Sat"", ""Thu"", ""Tue"", ""Sun""], ""usual_time"": ""18:00"", ""duration_min"": 90}}"
u_005,Tiffany King,Economics,3,"[""Physics409"", ""CS221"", ""CS379"", ""ME453""]","{""Computer Lab A"": {""days"": [""Tue"", ""Sat"", ""Sun""], ""usual_time"": ""10:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Sun"", ""Tue"", ""Wed""], ""usual_time"": ""21:00"", ""duration_min"": 120}}"
u_006,Michael Robinson,EE,4,"[""Bio181"", ""Economics220"", ""CS379"", ""Physics409"", ""CE445"", ""CS150""]","{""Central Cafeteria"": {""days"": [""Sun"", ""Fri""], ""usual_time"": ""08:30"", ""duration_min"": 45}, ""Computer Lab B"": {""days"": [""Sat"", ""Mon"", ""Thu"", ""Wed"", ""Sun""], ""usual_time"": ""11:00"", ""duration_min"": 45}, ""Gymnasium"": {""days"": [""Sat"", ""Tue"", ""Fri""], ""usual_time"": ""08:00"", ""duration_min"": 60}}"
u_007,Valerie Bennett,Economics,1,"[""Economics301"", ""Physics234"", ""Economics360"", ""ME453"", ""Chemistry320"", ""Bio350""]","{""Science Library"": {""days"": [""Thu"", ""Fri""], ""usual_time"": ""16:00"", ""duration_min"": 90}, ""Computer Lab A"": {""days"": [""Wed"", ""Thu"", ""Mon""], ""usual_time"": ""16:00"", ""duration_min"": 90}, ""Gymnasium"": {""days"": [""Wed"", ""Sat"", ""Fri"", ""Mon"", ""Tue""], ""usual_time"": ""19:00"", ""duration_min"": 45}}"
u_008,Gary Armstrong,Math,1,"[""Chemistry320"", ""Physics341"", ""CE445"", ""ME163"", ""Physics409""]","{""Gymnasium"": {""days"": [""Fri"", ""Sat"", ""Sun""], ""usual_time"": ""08:00"", ""duration_min"": 60}, ""Main Library"": {""days"": [""Tue"", ""Sun"", ""Mon"", ""Fri"", ""Wed""], ""usual_time"": ""17:00"", ""duration_min"": 120}, ""Computer Lab A"": {""days"": [""Tue"", ""Mon"", ""Sun"", ""Thu""], ""usual_time"": ""15:00"", ""duration_min"": 45}}"
u_009,William Thomas,CS,3,"[""Economics126"", ""Physics234"", ""CS379"", ""Chemistry320""]","{""Student Center"": {""days"": [""Tue"", ""Thu"", ""Mon"", ""Wed"", ""Sat""], ""usual_time"": ""14:00"", ""duration_min"": 90}, ""Computer Lab A"": {""days"": [""Fri"", ""Tue""], ""usual_time"": ""16:00"", ""duration_min"": 90}, ""Main Library"": {""days"": [""Sat"", ""Fri"", ""Wed"", ""Tue""], ""usual_time"": ""21:00"", ""duration_min"": 60}}"
u_010,Donald Bright,CE,4,"[""Economics126"", ""Economics360"", ""Physics341"", ""CE461"", ""Chemistry320"", ""ME386""]","{""Main Library"": {""days"": [""Tue"", ""Fri"", ""Sun"", ""Mon""], ""usual_time"": ""18:00"", ""duration_min"": 120}, ""Science Library"": {""days"": [""Thu"", ""Sat""], ""usual_time"": ""16:00"", ""duration_min"": 120}, ""Student Center"": {""days"": [""Sat"", ""Wed""], ""usual_time"": ""13:00"", ""duration_min"": 90}}"
